,county,voted_A,voted_B,voted_C,voted_D,voted_E,voted_F,voted_G
125,SPALDING,0.28025117948036415,0.6430659844507941,0.005216293441424679,0.01365539238487607,0.0014286663565685428,0.009469067712140341,0.04691341617383215
126,STEPHENS,0.07958361316319677,0.8554398925453325,0.005624580255204835,0.008898589657488246,0.0015110812625923438,0.006715916722632639,0.04222632639355272
127,STEWART,0.5491183879093199,0.41158690176322416,0.0010075566750629723,0.003526448362720403,0.0,0.005037783375314861,0.029722921914357683
128,SUMTER,0.4381434874979572,0.5168328158195784,0.0060467396633436836,0.00841640790978918,0.0004902761889197581,0.005801601568883805,0.024268671351528028
129,TALBOT,0.5289256198347108,0.42547734397264175,0.001994870333428327,0.005129666571672842,0.0017098888572242804,0.004559703619264748,0.03220290681105728
130,TALIAFERRO,0.5368983957219251,0.4235294117647059,0.0010695187165775401,0.0042780748663101605,0.0,0.0042780748663101605,0.029946524064171122
131,TATTNALL,0.16909798200826648,0.7534646243617797,0.0040116703136396795,0.021152443471918306,0.0009725261366399222,0.006442985655239484,0.044857768052516414
132,TAYLOR,0.3025013027618551,0.6425221469515373,0.0018238665971860343,0.006774361646690985,0.000781657113079729,0.003126628452318916,0.04247003647733194
133,TELFAIR,0.2907964195547395,0.6639889832453523,0.002983704383750287,0.005508377323846684,0.0018361257746155612,0.003442735827404177,0.03144365389029149
134,TERRELL,0.5010151139183397,0.45522219715768103,0.0024813895781637717,0.002932551319648094,0.00045116174148432213,0.004737198285585382,0.03316038799909768
135,THOMAS,0.27956057981584465,0.6496945938554107,0.005242045765338682,0.007749111131370225,0.0014586562129638072,0.0065639529583371315,0.049731060260734795
136,TIFT,0.21474535760250046,0.7103021388735674,0.00870258013115156,0.027210884353741496,0.0006741435312863885,0.006189863332720476,0.032175032175032175
137,TOOMBS,0.19085849831219778,0.7353343673022534,0.004835325244047076,0.019706231183286196,0.0005473953106468388,0.007389836693732324,0.04132834595383633
138,TOWNS,0.0027438263906211027,0.9335245697181342,0.0027438263906211027,0.007857321027687703,0.00037415814417560486,0.007982040409079572,0.04477425791968072
139,TREUTLEN,0.2753062540296583,0.6856866537717602,0.002256608639587363,0.003223726627981947,0.0003223726627981947,0.0019342359767891683,0.03127014829142489
140,TROUP,0.282278900298112,0.6509771447499172,0.00785028155018218,0.00907585293143425,0.0008943358728055648,0.007452798940046373,0.04147068565750248
141,TURNER,0.3175604626708728,0.6353838065194533,0.002103049421661409,0.010515247108307046,0.001840168243953733,0.0034174553101997897,0.02917981072555205
142,TWIGGS,0.4126093785057213,0.5295041507740633,0.0026923939869867622,0.005160421808391295,0.0015705631590756115,0.006730984967466906,0.04173210679829482
143,UNION,0.0014061101879074523,0.9224082832672887,0.0035791895692189697,0.008308832928544037,0.0010865396906557586,0.008500575226895053,0.054710469129489965
144,UPSON,0.2437273218559407,0.6923492627190613,0.003088087701690728,0.004091716204740215,0.0006948197328804139,0.0067937929437196015,0.049254998841967115
145,WALKER,0.02805291723202171,0.8739823609226595,0.0032903663500678426,0.004952510176390774,0.001390773405698779,0.006037991858887381,0.08229308005427409
146,WALTON,0.1276321946654188,0.7452425518639838,0.0069021993448759944,0.015247231321166744,0.0014623303696771174,0.010918733426922476,0.09259475900795508
147,WARE,0.21460192537418313,0.7255990443398215,0.005129646546272223,0.00801068090787717,0.0011945752231044902,0.00653502916168927,0.03892909844705221
148,WARREN,0.5107425555974369,0.44967960799095363,0.0022615906520919715,0.003392385978137957,0.0007538635506973238,0.004523181304183943,0.028646814926498305
149,WASHINGTON,0.4502474465620722,0.5119511424660419,0.0015794461408865958,0.0038959671475202696,0.0004211856375697589,0.0035800779193429504,0.028324734126566282
150,WAYNE,0.13521522145976295,0.7926543980037429,0.004132875857766688,0.009201497192763568,0.0012476606363069245,0.005848409232688708,0.051699937616968186
151,WEBSTER,0.4233784746970777,0.5438346400570206,0.0014255167498218105,0.004989308624376337,0.0007127583749109052,0.007127583749109052,0.018531717747683536
152,WHEELER,0.2527280663465735,0.7075512876473156,0.00043649061545176777,0.00785683107813182,0.0008729812309035355,0.005237887385421213,0.02531645569620253
153,WHITE,0.008867987907289217,0.9263688276788713,0.003426268055089016,0.008061807188444743,0.0020826335236815586,0.00517299294591871,0.04601948270070541
154,WHITFIELD,0.0347449600865918,0.7491273170071708,0.00955215803003653,0.12758760654850493,0.0013800568258693004,0.00979569746989582,0.06781220403193072
155,WILCOX,0.23041894353369763,0.7404371584699454,0.0024286581663630845,0.007285974499089253,0.0006071645415907711,0.0036429872495446266,0.015179113539769277
156,WILKES,0.34494426751592355,0.6054936305732485,0.004976114649681528,0.004378980891719745,0.001393312101910828,0.005772292993630573,0.03304140127388535
157,WILKINSON,0.38358458961474035,0.5814489112227805,0.0016750418760469012,0.0020938023450586263,0.0014656616415410384,0.0037688442211055275,0.025963149078726967
158,WORTH,0.21218622613173138,0.7465136236859043,0.002145462347135808,0.0043981978116284055,0.000536365586783952,0.005149109633125939,0.029071014803690197
